SMILES,side_chain,PH,T,D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23
CN1C([C@@H](NC(C2=[N+]3C(C(Br)=CC=C3)=CN2CCCC[C@H](NC([C@@H]4CCCN4C(C1)=O)=O)C(N)=O)=O)CC5CCCCC5)=O,3,7.4,25,155.7901157,251.9466632,149.605911,165.6357241,-1.031652322,56.20874088,22.28907385,-260.1491727,2.496046933,0.026984352,-0.394276206,-2.927680248,9.131969081,44.49620109,20.68197641,44.75159939,26.16706415,32.10410811,23.97268592,5.826601531,3,1.6615,16
CC(C)C[C@H](NC(C1=[N+]2C(C=CC3=C2C=CC=C3)=CN1CCCC[C@H](NC([C@@H]4CCCN4C([C@@H]5C)=O)=O)C(N)=O)=O)C(N5C)=O,4,7.4,25,83.8048894,251.0011795,149.3314219,165.2849952,-1.109737282,46.99660887,32.74258301,207.0113965,2.057241033,-0.274299359,-2.017262366,-1.188807007,3.762591544,51.6326767,14.65583667,40.15777861,26.16706415,32.0465756,23.97268592,6.758392261,3,1.5164,15
CN(C1)C([C@@H](NC(C2=[N+]3C(C=CC4=C3C=CC=C4)=CN2CCCC[C@H](NC([C@@H]5CCCN5C1=O)=O)C(N)=O)=O)CC6CCCCC6)=O,3,7.4,25,83.32468309,253.5013636,148.7188816,164.6235458,-1.109631174,63.22222222,38.29240375,-353.4744243,2.393733531,0.626753759,-1.176295109,-2.279614684,9.113466324,51.85531958,14.44127786,39.63410669,26.16706415,50.30320932,23.97268592,6.8778479,3,2.0522,16
