SMILES,D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19
O=C([C@@H](NCCCCCCNC([C@@H]1C)=O)CC2=CC=CC=C2)N[C@@H](CC(C)C)C(N1)=O,73.2411237,237.4148021,148.9815602,7.674858223,-662.5522614,1.141617779,1.190029102,-2.344218715,-1.258480529,6.296378109,13.32553885,32.55509497,21.26715442,57.02095299,14.38361155,11.97414693,4,1.9131,13
O=C([C@@H](NCCCCCCNC([C@@H]1CC(C)C)=O)C)N[C@@H](CC2=CC=CC=C2)C(N1)=O,73.2411237,237.4148021,148.9815602,7.674858223,-662.5522614,1.141617779,1.374311305,-1.804721739,-1.231997732,6.186581731,13.32553885,32.55509497,21.26715442,57.02095299,14.38361155,11.99603867,4,1.9131,13
O=C([C@@H](NCCCCCCNC([C@@H]1CC2=CC=CC=C2)=O)C)N[C@@H](CC(C)C)C(N1)=O,73.2411237,237.4148021,148.9815602,7.674858223,-662.5522614,1.141617779,1.374311305,-1.804721739,-1.844620416,6.160464501,13.32553885,32.55509497,21.26715442,57.02095299,14.38361155,11.99368446,4,1.9131,13
O=C([C@H](NCCCCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@@H](C1=O)C,73.2411237,237.4148021,148.9815602,7.674858223,-662.5522614,1.141617779,1.190029102,-2.466718715,-0.482090737,6.348802999,13.32553885,32.55509497,21.26715442,57.02095299,14.38361155,11.95947198,4,1.9131,14
